pyq_id,subject,question_text,reason,candidate_topic_ids
292,Operating Systems,Perform optimal page replacement on the following reference string: page replacement? utilization in case of thrashing. Explain how best fit allocation scheme minimized the fragment size? What are the disadvantages of single contiguous memory allocation? Explain. Explain and compare the FCFS and SSTF disk scheduling algorithms. Illustrate the following terms with examples.,"Ambiguous matches to multiple topics: Scheduling Algorithms, Disk Scheduling Algorithms FCFS SSTF SCAN C-SCAN",157|188
293,Operating Systems,"Bit vector ) Swap space management. Describe in detail the implementation methods of Access matrix. avoidance algorithm in detail. ---00000--- www. jntuonline.com -7,0,1,2,0,3,0,4,2,3,0,3,2,1,2,0,1,7,0,1 find number of page faults and define optimal Define thrashing? Explain its causes and write any two solutions to increase CPU What is fragment? Explain the difference between internal and external fragments. How does deadlock avoidance differ from deadlock prevention? Write about deadlock [10 [10","Ambiguous matches to multiple topics: Deadlock Prevention, Deadlock Avoidance",162|163
295,Operating Systems,a) R13 JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD,No keyword match found,
298,Operating Systems,Two level directory structure. )) Acyclic-graph directory structure. [5+5] Explain any two methods used to protect user files with examples. Discuss the log structured file system implementation. [5+5] Consider the following snapshot of a system: Processes Allocation Max Available ABCD ABCD ABCD PO 0012 0012 2100 Pl 2000 2750 P2 0034 6656 P3 2345 4356 P4 0332 0652 Answer the following questions using the banker’s algorithm:,"Ambiguous matches to multiple topics: Deadlock Avoidance, Directory Structure",163|182
299,Operating Systems,What is the content of the matrix Need?,No keyword match found,
301,Operating Systems,Is the system currently deadlocked? Why or why not?,No keyword match found,
302,Operating Systems,"Which process, if any, or may become deadlocked if this whole request is granted immediately? [2+3+2+3] In the capability-based system, describe the techniques, which can be used to protect the capabilities from unauthorized modification. [10] ---00000--- www. jJntuonline.com",No keyword match found,
303,Computer Networks,"Part-A for 10 marks, ii) Part-B for 50 marks. (cid:127) Part-A is a compulsory question which consists of ten sub-questions from all units carrying equal marks. (cid:127) Part-B consists of ten questions (numbered from 2 to 11) carrying 10 marks each. From each unit, there are two questions and the student should answer one of them. Hence, the student should answer five questions from Part-B. PART – A (10 Marks)",No keyword match found,
305,Computer Networks,List out the two sub layers of data link layer.,No keyword match found,
307,Computer Networks,What is channel allocation problem?,No keyword match found,
308,Computer Networks,Define congestion in a network.,No keyword match found,
309,Computer Networks,What is process to process delivery?,No keyword match found,
310,Computer Networks,What is MPEG? PART – B (50 Marks),No keyword match found,
311,Computer Networks,Explain in detail about TCP/IP network reference model with neat diagram.,No keyword match found,
312,Computer Networks,a) Describe the functionalities provided by data link layer.,No keyword match found,
316,Computer Networks,a) Explain the design issues in network layer.,No keyword match found,
318,Computer Networks,a) Describe the multicast routing in detail.,No keyword match found,
319,Computer Networks,Discuss about network layer in the Internet.,No keyword match found,
320,Computer Networks,a) Describe the functionalities of transport layer.,No keyword match found,
321,Computer Networks,Give a brief note on connection management at transport layer.,No keyword match found,
322,Computer Networks,"a) With a neat architecture, explain TCP in detail.",No keyword match found,
327,Computer Networks,Give a short note on audio streaming at application layer. ---ooOoo---,No keyword match found,
328,Computer Networks,"Part A is compulsory, which carries 25 marks. In Part A, Answer all questions.",No keyword match found,
329,Computer Networks,"Idn Part B, Answer any one question from each unit. Each question carries 10 marks and may have a, b as sub questions. P PART – A (25 Marks)",No keyword match found,
330,Computer Networks,a) What is a computer npetwork? Explain. [2],No keyword match found,
331,Computer Networks,Write the properties of fiber optics. [3],No keyword match found,
333,Computer Networks,Explain about data link layer swritching. [3],No keyword match found,
335,Computer Networks,What is the function of network layer in the Internet? [3],No keyword match found,
336,Computer Networks,What are the elements of a Transport protocol? [2],No keyword match found,
338,Computer Networks,What is World Wide Web (WWW)? M [2],No keyword match found,
339,Computer Networks,Explain about SNMP. [3] PART – B c (50 Marks),No keyword match found,
340,Computer Networks,a) Compare and contrast the OSI and TCP/IP reference models.h,No keyword match found,
341,Computer Networks,"With a neat diagram, explain ARPANET design. - [5+5]",No keyword match found,
342,Computer Networks,a) Discuss in detail about various network software and hardware.,No keyword match found,
343,Computer Networks,Explain about various transmission media used in physical layer with a neat sketch. [5+5],No keyword match found,
344,Computer Networks,a) What are the various types of error detection methods? Discuss.,No keyword match found,
349,Computer Networks,a) Discuss about distance vector routing algorithm with an example.,"Ambiguous matches to multiple topics: Routing Algorithms, Distance Vector Routing",215|219
351,Computer Networks,How a connection is established in a Transport Protocol. Explain three protocol scenarios for establishing a connection. [10],No keyword match found,
352,Computer Networks,a) What are the services provided by transport layer to the upper layers? Explain. Ub) Write the structure of TCP pseudo header and explain how it is used in checksum calculation. [5+5],No keyword match found,
353,Computer Networks,a) e How DNS service maps domain names to IP addresses? Explain with an example.,"Ambiguous matches to multiple topics: IP Addresses, DNS",229|259
354,Computer Networks,Describe the typical elements in an audio streaming architecture. [5+5] d,No keyword match found,
357,Computer Networks,a) | Write the advantages of optical fiber over twisted-pair and coaxial cables. [2],No keyword match found,
358,Computer Networks,What are the advantages of having layered architecture? [3],No keyword match found,
360,Computer Networks,Sketch the Manchester encoding for the bit stream: 0001110101. [3],No keyword match found,
362,Computer Networks,Differences between CO and CL. [3],No keyword match found,
364,Computer Networks,What is the architecture of WWW? [2],No keyword match found,
366,Computer Networks,a) | Compare and contrast the OSI and TCP/IP reference models.,No keyword match found,
367,Computer Networks,What are the different types of error detection methods? Explain the CRC error detection technique using generator polynomial x‘+x?+1 and data 11100011. 5+5,No keyword match found,
368,Computer Networks,a) Discuss about the various transmission media available at the physical layer.,No keyword match found,
370,Computer Networks,a) Explain the differences between the switching methods.,No keyword match found,
372,Computer Networks,a) Illustrate the frame structure of IEEE 802.3.,No keyword match found,
374,Computer Networks,a) — Elucidate Distance Vector Routing Algorithm with example.,"Ambiguous matches to multiple topics: Routing Algorithms, Distance Vector Routing",215|219
376,Computer Networks,a) . 5+5 www. jntuonline.com,No keyword match found,
377,Computer Networks,"Elucidate the special IP addresses used in internet. Discuss the significance and the operation of NAT. Illustrate the connection establishment and release in transport layer. How crash recovery is managed at the transport layer? Explain Real-time transport protocol. When user clicks a hyperlink, what are the steps that occur between the user’s clic! the page being displayed? Write short notes on the following:","Ambiguous matches to multiple topics: IP Addresses, Connection Establishment, Crash Recovery",229|238|240
378,Computer Networks,MIME (b) Audio compression (c) DNS (d) Voice over ---00000--- www. jntuonline.com and [10],"Ambiguous matches to multiple topics: Electronic Mail, DNS",257|259
379,Computer Networks,"Part A is compulsory, which carries 25 marks. In Part A, Answer all questions.",No keyword match found,
380,Computer Networks,"In Part B, Answer any one question from each unit. Each question carries 10 marks U and may have a, b as sub questions. H PART – A (25 Marks)",No keyword match found,
381,Computer Networks,a) What is ARPANEUT? [2],No keyword match found,
382,Computer Networks,Write about Co-axial cable transmission media? [3] s,No keyword match found,
383,Computer Networks,What are the advantages of seliding window protocol? [3],No keyword match found,
384,Computer Networks,What is non-adaptive routing? [2],No keyword match found,
385,Computer Networks,What is meant by congestion? d [3],No keyword match found,
386,Computer Networks,What is the function of transport layer? [2],No keyword match found,
388,Computer Networks,What is the function of application layer? [2],No keyword match found,
390,Computer Networks,Explain the TCP/IP reference model. [10] OR s,No keyword match found,
391,Computer Networks,Explain about fiber optics transmission media. [10],No keyword match found,
392,Computer Networks,Explain the stop-and-wait protocol. [10],No keyword match found,
393,Computer Networks,Explain about wireless LAN. [10],No keyword match found,
398,Computer Networks,Explain the TCP transmission policy. [10],No keyword match found,
399,Computer Networks,Explain about streaming audio. [10] ---ooOoo---,No keyword match found,
400,Computer Networks,"Code No: 115DT R13 JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD COMPUTER NETWORKS (Common to CSE, IT) PART-A (25 Marks) PART -B (50 Marks) www. jJntuonline.com ---00000---",No keyword match found,
401,Computer Networks,a) What is Internet. Daifferentiate it from intranet. [2],No keyword match found,
402,Computer Networks,Discuss the design issues of data link layer. [3],No keyword match found,
403,Computer Networks,When do we use hubs? p [2],No keyword match found,
404,Computer Networks,What are main functionalities of routers? What is purpose of using multiprotocol e routers? [3] r,No keyword match found,
407,Computer Networks,What is CIDR addressing 1 [2],"Ambiguous matches to multiple topics: CIDR, Addressing",230|237
408,Computer Networks,Discuss the principles of internetworking. [3],No keyword match found,
409,Computer Networks,What is silly window syndrome? 0 [2],No keyword match found,
411,Computer Networks,Compare and contrast OSI and TCP/IP reference models. Critique on each model. [10] OR 2,No keyword match found,
415,Computer Networks,"a) The major problem with distance vector routing algorithm is ‘count to infinity’. How exchange complete path form router to destination instead of delay, helps in solving count to infinity problem.","Ambiguous matches to multiple topics: Repeaters, Hubs, Bridges, Switches, Routers and Gateways, Routing Algorithms, Distance Vector Routing, Count to Infinity Problem",211|215|219|220
416,Computer Networks,Explain the design issues of network layer. [5+5],No keyword match found,
419,Computer Networks,How many subnets are created?,No keyword match found,
422,Computer Networks,"Ilelustrate the TCP connections, TCP releases with state transition diagram. [10] d",No keyword match found,
424,Computer Networks,a) What are the advantages of layered protocol suites? [2],No keyword match found,
425,Computer Networks,Mention the comparison of fiber optics and copper wire. [3] e,No keyword match found,
428,Computer Networks,Write short note on design issues of network layer. [2],No keyword match found,
431,Computer Networks,Mention the differences between IPv4 and IPv6. [3] -,"Ambiguous matches to multiple topics: IPv4 Protocol, IPv6 Protocol",227|228
434,Computer Networks,"Explain OSI reference models, and compare with TCP/IP reference model. [10]",No keyword match found,
436,Computer Networks,Explain the Hamming Code with an example. [4+6],No keyword match found,
438,Computer Networks,Explain about the following devices: M,No keyword match found,
442,Computer Networks,Write in detail about the Internet control message protocol. [10] u s10. How does the Remote procedure call works? Explain it. [10] 11e. Write short notes on the following:,"Ambiguous matches to multiple topics: ICMP, UDP and RPC",231|241
444,Computer Networks,a) Elaborate on the design issues of data link layer.,No keyword match found,
445,Computer Networks,Discuss about Internet standards. [8+7] P,No keyword match found,
446,Computer Networks,a) Describe the Transmission Media. What are the types of Transmission Media? a,No keyword match found,
447,Computer Networks,"What are the distinct characteristics of local area networks, explain briefly? [7+8] p",No keyword match found,
450,Computer Networks,a) What are the different cable topBologies of an Ethernet? Explain Manchester Encoding.,No keyword match found,
452,Computer Networks,a) Explain shortest path routing algorithm with an example,"Ambiguous matches to multiple topics: Routing Algorithms, Shortest Path Routing",215|217
454,Computer Networks,a) Illustrate design issues of Network layer. C,No keyword match found,
455,Computer Networks,Explain the prevention polices of congestion. [7+8] H,No keyword match found,
457,Computer Networks,Write a detailed note on transport services. [8+7],No keyword match found,
459,Computer Networks,How DNS service maps domain names to IP addresses. [8+7] - ---ooOoo--- - P M,"Ambiguous matches to multiple topics: IP Addresses, DNS",229|259
460,Computer Networks,a) WhaDt are the advantages of computer networks?,No keyword match found,
461,Computer Networks,Explain about the functionality of each layer in ISO-OSI reference model with a neat sketch. [5+10] P,No keyword match found,
463,Computer Networks,Draw and explain Internet architecture with a neat sketch. [8+7],No keyword match found,
467,Computer Networks,a) What are the design issues of Network Layer? Explain in detail.,No keyword match found,
468,Computer Networks,Define congestion. Write about congestion Scontrol policies. [7+8],No keyword match found,
469,Computer Networks,a) Explain about hierarchical routing algorithm. S,"Ambiguous matches to multiple topics: Routing Algorithms, Hierarchical Routing",215|221
470,Computer Networks,Differentiate between broadcasting and multicasting. [7+8] E,No keyword match found,
471,Computer Networks,a) Discuss about the performance issues in Transport Layer.,No keyword match found,
474,Computer Networks,Write short notes on World Wide Web. 2 [8+7] ---ooOoo---,No keyword match found,
475,Computer Networks,a) What ius the importance of layered architecture in network models? Discuss in detail.,No keyword match found,
476,Computer Networks,Differentiate between TCP/IP network model and ISO-OSI reference model. [7+8] s,No keyword match found,
477,Computer Networks,a) Discuss about Network hardware components in detail. e,No keyword match found,
479,Computer Networks,a) What are the design issues of Data Link Layer? Explain in detail.,No keyword match found,
482,Computer Networks,a) Define Routing. Explain Distance Vector Routing Algorithm with an example. e,"Ambiguous matches to multiple topics: Routing Algorithms, Distance Vector Routing",215|219
485,Computer Networks,How to achieve quality of service using leaky bucket aalgorithm. [7+8],"Ambiguous matches to multiple topics: Congestion Control Algorithms, Transport Layer Services to Upper Layers",222|235
486,Computer Networks,a) Explain connection management in transport layer. u,No keyword match found,
490,DBMS,"Part A is compulsory, which carries 25 marks. In Part A, answer all questions.",No keyword match found,
491,DBMS,"In Part B, Answer any one question from each unit. Each question carries 10 marks and may have a, b as sub questions. PART - A (25 Marks)",No keyword match found,
492,DBMS,a) What is a database? [2],No keyword match found,
493,DBMS,Quote example for aggregation in ER model. [3],No keyword match found,
494,DBMS,What is an unsafe query? [2],No keyword match found,
496,DBMS,Give example for spurious tuples. [3],No keyword match found,
497,DBMS,What are the benefits of multiple granularity? [3],No keyword match found,
499,DBMS,How does database management system provide data abstraction? Explain in detail.[10],No keyword match found,
502,DBMS,"Consider the following database schema to write queries in SQL: Employee( Eid, Ename, Ecity) Company( Cno, Cname, Ccity) Works_for(Eid, Cno, Salary)",No keyword match found,
503,DBMS,Find the employees hailing from Kolkata.,No keyword match found,
504,DBMS,Find the employees working for Wipro.,No keyword match found,
505,DBMS,Find the average salary of employees working for IBM. [3+3+4],No keyword match found,
506,DBMS,Explain the need of schema refinement in database design with suitable examples. [10],"Ambiguous matches to multiple topics: Database design, Schema refinement",352|367
507,DBMS,Make a comparison of Boyce Codd normal form and Fourth normal form. [10],"Ambiguous matches to multiple topics: BCNF, Fourth normal form",377|379
512,DBMS,"Part A is compulsory, which carries 25 marks. In Part A, answer all questions. J iii) In Part B, Answer any one question from each unit. Each question carries 10 marks and may have a, b as sub questions. PART - A N (25 Marks) T",No keyword match found,
513,DBMS,Write the purpose of DDL. List any 2 commands of DDL. [3] U,No keyword match found,
514,DBMS,What is tuple relational calculus? [2],"Ambiguous matches to multiple topics: Introduction to the Relational Model, Tuple relational calculus",349|357
515,DBMS,Write the purpose of order by in SQL with example. [3] H,No keyword match found,
519,DBMS,What is secondary indexes? [2],No keyword match found,
521,DBMS,a) List the applications of DBMS. p,No keyword match found,
524,DBMS,Write a note on views. p [5+5],No keyword match found,
529,DBMS,a) Write detailed notes on the dependency preserving decomposition.,No keyword match found,
530,DBMS,Explain fifth Normal form. [5+5],No keyword match found,
531,DBMS,a) What is concurrency control in databases? Explain Time stamp-based protocol in detail.,No keyword match found,
532,DBMS,Why we need to backup database? Discuss the remote backup systems of the DBMS. [10],No keyword match found,
533,DBMS,Elaborate on file organization of the DBMS. [10],No keyword match found,
535,DBMS,"Tech II Year II Semester Supplementary Examinations, August/September - 2022 DATABASE MANAGEMENT SYSTEMS T (Common to CSE, IT) U Answer any five questions All questions carry equal marks H ----",No keyword match found,
536,DBMS,a) Define database management systems? Differentiate file system with data base managemeUnt systems.,No keyword match found,
538,DBMS,"a) Consider the following relations Student (Std_Name,Std_Rdno,Avg_Marks,Branch) Fees (Std_Rno,Fee_Paid,Fee_D ue) Represent the following using relational algebra.","Ambiguous matches to multiple topics: Relational algebra, Aggregation operators",356|363
540,DBMS,Display the students list whose fees due in between 5000 and 10000 (from Fees Relation) p,No keyword match found,
541,DBMS,Display the Std_Name and Branch from Student Relation,No keyword match found,
543,DBMS,Describe the following terms: r,No keyword match found,
546,DBMS,a) Discuss various types of join operations with an example. g,No keyword match found,
549,DBMS,What is Boyce code normal form? Explain with a suitable example. [8+7] J,No keyword match found,
550,DBMS,a) What is deferred update recovery technique and how it used in database recovery? N,No keyword match found,
