chunk_id,chunk_text,correct_topic_id,correct_topic_name,correct_subject,predicted_topic_id,predicted_topic_name,predicted_subject,failure_category,explanation
210,"Consider the following set of processes, with the length of the CPU burst given in milliseconds: Process Burst Time Priority - P1 27 5 P2 12 1 2 P3 37 2 P4 19 4 0 P5 10 3 The processes are assumed to have arrived in the order P1, P2, P3, P4, P5 all at time 0. Draw the Gantt charts that illustrate the execution of these processes using the following scheduling algorithms: FCFS, SJF and Priority. Also determine the average waiting time and average turnaround time for each of the algorithms. [15] P",149,Real-Time Systems,Operating Systems,157,Scheduling Algorithms,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Introduction to Operating Systems vs CPU Scheduling and Deadlocks).
101,Define the syntax of read() system call. PART – B (50 Marks),187,System Calls for File I/O Operations,Operating Systems,142,Operating System Introduction,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (File Systems and Disk Management vs Introduction to Operating Systems).
298,Two level directory structure. )) Acyclic-graph directory structure. [5+5] Explain any two methods used to protect user files with examples. Discuss the log structured file system implementation. [5+5] Consider the following snapshot of a system: Processes Allocation Max Available ABCD ABCD ABCD PO 0012 0012 2100 Pl 2000 2750 P2 0034 6656 P3 2345 4356 P4 0332 0652 Answer the following questions using the banker’s algorithm:,163,Deadlock Avoidance,Operating Systems,182,Directory Structure,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (CPU Scheduling and Deadlocks vs File Systems and Disk Management).
224,What are the conditions used in Banker’s algorithm? [3] PART – B (50 Marks),163,Deadlock Avoidance,Operating Systems,188,Disk Scheduling Algorithms FCFS SSTF SCAN C-SCAN,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (CPU Scheduling and Deadlocks vs File Systems and Disk Management).
173,a) Briefly explain abeout system calls.,151,Operating System Services,Operating Systems,187,System Calls for File I/O Operations,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Introduction to Operating Systems vs File Systems and Disk Management).
98,What is swapping in memory management?,176,Logical Versus Physical Address Space,Operating Systems,179,Memory Management Unit (MMU),Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Memory Management).
153,List down various file attributes. [3] p PART – B e (50 Marks) r,181,File System Interface and Access Methods,Operating Systems,183,File Protection,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (File Systems and Disk Management).
279,| What do you mean by external fragmentation? [3],176,Logical Versus Physical Address Space,Operating Systems,185,File Allocation Methods,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Memory Management vs File Systems and Disk Management).
147,Write about wait command. [2] e,153,Operations on Processes,Operating Systems,174,Message Queues,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Introduction to Operating Systems vs Process Synchronization and IPC).
242,a) Explain about deadlock conditions and Banker’s algorithm in detail.,163,Deadlock Avoidance,Operating Systems,160,Deadlock Characterization,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (CPU Scheduling and Deadlocks).
292,Perform optimal page replacement on the following reference string: page replacement? utilization in case of thrashing. Explain how best fit allocation scheme minimized the fragment size? What are the disadvantages of single contiguous memory allocation? Explain. Explain and compare the FCFS and SSTF disk scheduling algorithms. Illustrate the following terms with examples.,178,Virtual Address Space,Operating Systems,188,Disk Scheduling Algorithms FCFS SSTF SCAN C-SCAN,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Memory Management vs File Systems and Disk Management).
302,"Which process, if any, or may become deadlocked if this whole request is granted immediately? [2+3+2+3] In the capability-based system, describe the techniques, which can be used to protect the capabilities from unauthorized modification. [10] ---00000--- www. jJntuonline.com",160,Deadlock Characterization,Operating Systems,161,Methods for Handling Deadlocks,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (CPU Scheduling and Deadlocks).
181,a) Describe IPC between processes on a single computer system.,154,Cooperating Processes,Operating Systems,171,IPC Between Processes on a Single System,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Introduction to Operating Systems vs Process Synchronization and IPC).
97,What is Interprocess Communication (IPC)?,154,Cooperating Processes,Operating Systems,171,IPC Between Processes on a Single System,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Introduction to Operating Systems vs Process Synchronization and IPC).
162,a) Demonstrate that monitors and semaphores are equivalent as they can be used to implement the same types of synchronization problems. Jb) What is critical-section problem? Give a classic Peterson’s solution to the critical- section problem. [5+5] N OR,167,Semaphores,Operating Systems,165,Critical Section Problem,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Process Synchronization and IPC).
119,What is the use of waitpid() system call? [3],151,Operating System Services,Operating Systems,155,Threads,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Introduction to Operating Systems).
124,What is a bit vector? [2],184,File System Structure,Operating Systems,180,Relocation Register,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (File Systems and Disk Management vs Memory Management).
178,Explain about fork and exit system calls with examples. [8+7] p,151,Operating System Services,Operating Systems,155,Threads,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Introduction to Operating Systems).
190,SJF b) Non Preemptive Priority [7+8],157,Scheduling Algorithms,Operating Systems,167,Semaphores,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (CPU Scheduling and Deadlocks vs Process Synchronization and IPC).
99,What is the structure and role of a page table?,178,Virtual Address Space,Operating Systems,184,File System Structure,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Memory Management vs File Systems and Disk Management).
126,a) Distinguish between parallel and distributed systems.,148,Distributed Systems,Operating Systems,147,Parallel Systems,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Introduction to Operating Systems).
345,Explain how slotted ALOHA solves the problem of Channel allocation. [5+5],201,Multi Access Protocols,Computer Networks,202,ALOHA,Computer Networks,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Multiple Access Protocols and Data Link Layer Switching).
394,Explain the shortest-path routing algorithm. [10] OR 3,215,Routing Algorithms,Computer Networks,217,Shortest Path Routing,Computer Networks,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Network Layer and Routing).
484,a) Describe link state vector routing algorithm example.,215,Routing Algorithms,Computer Networks,219,Distance Vector Routing,Computer Networks,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Network Layer and Routing).
311,Explain in detail about TCP/IP network reference model with neat diagram.,191,TCP/IP Protocol Suite,Computer Networks,194,Comparison of OSI and TCP/IP Reference Model,Computer Networks,Near-miss error,"Slight semantic mismatch between highly adjacent topics under the same unit (Overview of Internet, Physical Layer and Data Link Layer)."
426,Define Gigabit Ethernet. [2] r,206,Ethernet MAC Sublayer,Computer Networks,205,Ethernet Physical Layer,Computer Networks,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Multiple Access Protocols and Data Link Layer Switching).
385,What is meant by congestion? d [3],222,Congestion Control Algorithms,Computer Networks,250,TCP Congestion Control,Computer Networks,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Network Layer and Routing vs Internet Transport Protocols and Application Layer).
480,Compare and contrast CSMA/CD and CSMA/CA for channel allocation. [7+8] p,201,Multi Access Protocols,Computer Networks,203,CSMA,Computer Networks,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Multiple Access Protocols and Data Link Layer Switching).
458,a) Discuss in detail about the connection establishment and release in TCP.,238,Connection Establishment,Computer Networks,247,TCP Connection Release,Computer Networks,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Internetworking and Transport Layer vs Internet Transport Protocols and Application Layer).
456,a) What is the format of IPv4 header? Describe the significance of each field. -,229,IP Addresses,Computer Networks,227,IPv4 Protocol,Computer Networks,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Internetworking and Transport Layer).
415,"a) The major problem with distance vector routing algorithm is ‘count to infinity’. How exchange complete path form router to destination instead of delay, helps in solving count to infinity problem.",219,Distance Vector Routing,Computer Networks,220,Count to Infinity Problem,Computer Networks,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Network Layer and Routing).
390,Explain the TCP/IP reference model. [10] OR s,191,TCP/IP Protocol Suite,Computer Networks,194,Comparison of OSI and TCP/IP Reference Model,Computer Networks,Near-miss error,"Slight semantic mismatch between highly adjacent topics under the same unit (Overview of Internet, Physical Layer and Data Link Layer)."
353,a) e How DNS service maps domain names to IP addresses? Explain with an example.,229,IP Addresses,Computer Networks,259,DNS,Computer Networks,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Internetworking and Transport Layer vs Internet Transport Protocols and Application Layer).
377,"Elucidate the special IP addresses used in internet. Discuss the significance and the operation of NAT. Illustrate the connection establishment and release in transport layer. How crash recovery is managed at the transport layer? Explain Real-time transport protocol. When user clicks a hyperlink, what are the steps that occur between the user’s clic! the page being displayed? Write short notes on the following:",229,IP Addresses,Computer Networks,236,Elements of Transport Protocol,Computer Networks,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Internetworking and Transport Layer).
430,What is meant by Internetwork routing? [2],215,Routing Algorithms,Computer Networks,225,Internetwork Routing,Computer Networks,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Network Layer and Routing vs Internetworking and Transport Layer).
450,a) What are the different cable topBologies of an Ethernet? Explain Manchester Encoding.,206,Ethernet MAC Sublayer,Computer Networks,205,Ethernet Physical Layer,Computer Networks,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Multiple Access Protocols and Data Link Layer Switching).
465,a) Compare and contrast Pure ALEOHA and Slotted ALOHA channel allocation Methods.,201,Multi Access Protocols,Computer Networks,202,ALOHA,Computer Networks,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Multiple Access Protocols and Data Link Layer Switching).
649,Describe about outer join. 2),356,Relational algebra,DBMS,380,Lossless join decomposition,DBMS,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Relational Model and Algebra vs Schema Refinement and Normalization).
546,a) Discuss various types of join operations with an example. g,356,Relational algebra,DBMS,380,Lossless join decomposition,DBMS,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Relational Model and Algebra vs Schema Refinement and Normalization).
604,"What is normal form? Explain normalization using (1NF, 2NF, 3NF) with examples. [10]",374,First normal form,DBMS,376,Third normal form,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Schema Refinement and Normalization).
616,What is schema refinement? [2],344,Database design and ER diagrams,DBMS,367,Schema refinement,DBMS,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Introduction to Database Systems vs Schema Refinement and Normalization).
529,a) Write detailed notes on the dependency preserving decomposition.,369,Decompositions and associated problems,DBMS,380,Lossless join decomposition,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Schema Refinement and Normalization).
505,Find the average salary of employees working for IBM. [3+3+4],359,SQL Queries,DBMS,344,Database design and ER diagrams,DBMS,Ambiguous/multi-topic chunk,"Source text contains general terms spanning separate curriculum units (SQL, Constraints, and Triggers vs Introduction to Database Systems)."
654,What is meant by remote backup system? 3],399,Failure with loss of non-volatile storage,DBMS,400,External Storage and Indexing,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Transaction Management and Recovery).
493,Quote example for aggregation in ER model. [3],347,Additional features of the ER model,DBMS,348,Conceptual design with the ER model,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Introduction to Database Systems).
540,Display the students list whose fees due in between 5000 and 10000 (from Fees Relation) p,359,SQL Queries,DBMS,352,Database design,DBMS,Ambiguous/multi-topic chunk,"Source text contains general terms spanning separate curriculum units (SQL, Constraints, and Triggers vs Relational Model and Algebra)."
552,a) What is two phase locking? Describe with the help of a suitable example.,391,Serializability by locks,DBMS,392,Locking systems with several lock modes,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Transaction Management and Recovery).
497,What are the benefits of multiple granularity? [3],392,Locking systems with several lock modes,DBMS,373,Minimal covers,DBMS,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Transaction Management and Recovery vs Schema Refinement and Normalization).
622,a) Give an overview of database languages – DDL and DML.,354,Introduction to views,DBMS,338,Database System Applications,DBMS,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Relational Model and Algebra vs Introduction to Database Systems).
662,Explain fourth normal form and BCNF. 0,377,BCNF,DBMS,379,Fourth normal form,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Schema Refinement and Normalization).
634,Give an overview of validation based protocol. [5+5],354,Introduction to views,DBMS,394,Validation,DBMS,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Relational Model and Algebra vs Transaction Management and Recovery).
630,What are the problems caused by redundancy and decomposition of relation? [5+5],369,Decompositions and associated problems,DBMS,368,Problems caused by redundancy,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Schema Refinement and Normalization).
637,a) Give acomparison of various file organizations.,400,External Storage and Indexing,DBMS,339,File Systems versus a DBMS,DBMS,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Transaction Management and Recovery vs Introduction to Database Systems).
640,"a) Part A is compulsory which carries 25 marks. Answer all questions in Part A. Part B consists of 5 Units. Answer any one full question from each unit. Each question carries 10 marks and may have a, b, c as sub questions. PART-A (25 Marks) What are five main functions of a database administrator? 2 List and explain the database system applications. 3 Define a trigger. What are the differences between row level and statement level triggers? 2 How are queries expressed in SQL? 3 List the benefits of BCNF and 3NF. 2 Write the Properties of Decompositions. 3 Why is recoverability of schedules desirable? 2 Suppose that there is a database system that never fails. Is a recovery manager required for this system? 3 How is data organized in a hash based index? 2 Give a brief note on Static Hashing. 3 PART -B (50 Marks) What is a partial key? How is it represented in ER diagram? Give an example. Define query. Explain the data manipulation language in detail. 5+5] Explain how to build ER model for university with entities department, instructor, student, and class. Instructors and students belong to one department only. Instructors and students related to a class with many to many relations. Assume suitable attributes. Explain how the ER model can be translated to relations. List and explain the design issues of entity relationship. [5+5] Consider the following schema instructor (ID, name, dept_name), teaches (ID, course_id, sec_id, semester, year), section (course_id, sec_id, semester, year), student (ID, name, dept_name), takes (ID, course_id, sec_id, semester, year, grade) Write the following queries in SQL",377,BCNF,DBMS,348,Conceptual design with the ER model,DBMS,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Schema Refinement and Normalization vs Introduction to Database Systems).
635,a) Explain about the Multiple granularity Concurrency Control protocol.,392,Locking systems with several lock modes,DBMS,393,Concurrency control by timestamps,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Transaction Management and Recovery).
561,a) What is a view? Discuss its role in database security. s,354,Introduction to views,DBMS,338,Database System Applications,DBMS,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Relational Model and Algebra vs Introduction to Database Systems).
584,Discuss two phase locking protocol. Explain all its variants with necessary schedules. [15],391,Serializability by locks,DBMS,392,Locking systems with several lock modes,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Transaction Management and Recovery).
636,Explain about remote backup system. [5+5],399,Failure with loss of non-volatile storage,DBMS,400,External Storage and Indexing,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Transaction Management and Recovery).
507,Make a comparison of Boyce Codd normal form and Fourth normal form. [10],377,BCNF,DBMS,379,Fourth normal form,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Schema Refinement and Normalization).
645,Make a comparison between the tuple relational calculus and domain re calculus. What are nested queries? What is correlation in nested queries? Explain. Discuss how schema refinement through dependency analysis and norma! can improve schemas obtained through ER design. F when it is in INF? Explain. Discuss about log based recovery with immediate update and deferred with suitable examples. ational 5+5] lization Why is a table whose primary key consists of a single attribute automatically in,344,Database design and ER diagrams,DBMS,367,Schema refinement,DBMS,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Introduction to Database Systems vs Schema Refinement and Normalization).
536,a) Define database management systems? Differentiate file system with data base managemeUnt systems.,338,Database System Applications,DBMS,339,File Systems versus a DBMS,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Introduction to Database Systems).
648,Write brief notes on altering tables and views. 3],354,Introduction to views,DBMS,355,Destroying/altering tables and views,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Relational Model and Algebra).
620,What is the difference between indexing and hashing? [3] PART-B (50 Marks),409,Static Hashing,DBMS,411,Linear Hashing,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Transaction Management and Recovery).
614,Let R =(ABC) and S=(DEF) let r(R) and s(S) be relations on schema R and S. Give an expression in the Domain relational calculus that is equivalent to each of the following.,344,Database design and ER diagrams,DBMS,358,Domain relational calculus,DBMS,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Introduction to Database Systems vs Relational Model and Algebra).
530,Explain fifth Normal form. [5+5],374,First normal form,DBMS,376,Third normal form,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Schema Refinement and Normalization).
639,How does Extendable hashing use a directory of buckets? How does it handles the insert and delete operations? [10] ---ooOoo---,409,Static Hashing,DBMS,410,Extendible Hashing,DBMS,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Transaction Management and Recovery).
533,Elaborate on file organization of the DBMS. [10],400,External Storage and Indexing,DBMS,339,File Systems versus a DBMS,DBMS,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Transaction Management and Recovery vs Introduction to Database Systems).
504,Find the employees working for Wipro.,359,SQL Queries,DBMS,338,Database System Applications,DBMS,Ambiguous/multi-topic chunk,"Source text contains general terms spanning separate curriculum units (SQL, Constraints, and Triggers vs Introduction to Database Systems)."
503,Find the employees hailing from Kolkata.,359,SQL Queries,DBMS,338,Database System Applications,DBMS,Ambiguous/multi-topic chunk,"Source text contains general terms spanning separate curriculum units (SQL, Constraints, and Triggers vs Introduction to Database Systems)."
532,Why we need to backup database? Discuss the remote backup systems of the DBMS. [10],399,Failure with loss of non-volatile storage,DBMS,339,File Systems versus a DBMS,DBMS,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Transaction Management and Recovery vs Introduction to Database Systems).
199,What is Mutual exclusion? Explain Peterson’s solution for mutual exclusion problem. [15] ---ooOoo---,160,Deadlock Characterization,Operating Systems,361,"UNION, INTERSECT, and EXCEPT",DBMS,Cross-subject confusion,Vocabulary overlap on 'EXCEPT' confuses Operating Systems with DBMS.
122,What is internal fragmentation? [2],176,Logical Versus Physical Address Space,Operating Systems,226,Packet Fragmentation,Computer Networks,Cross-subject confusion,Vocabulary overlap on 'Fragmentation' confuses Operating Systems with Computer Networks.
224,What are the conditions used in Banker’s algorithm? [3] PART – B (50 Marks),163,Deadlock Avoidance,Operating Systems,411,Linear Hashing,DBMS,Cross-subject confusion,Vocabulary overlap on 'Hashing' confuses Operating Systems with DBMS.
279,| What do you mean by external fragmentation? [3],176,Logical Versus Physical Address Space,Operating Systems,400,External Storage and Indexing,DBMS,Cross-subject confusion,Vocabulary overlap on 'Indexing' confuses Operating Systems with DBMS.
235,Discuss the procedure for page fault in demand paging. [5+5],178,Virtual Address Space,Operating Systems,398,Buffer management,DBMS,Cross-subject confusion,Vocabulary overlap on 'management' confuses Operating Systems with DBMS.
278,Describe about hashed page table. [2],178,Virtual Address Space,Operating Systems,411,Linear Hashing,DBMS,Cross-subject confusion,Vocabulary overlap on 'Hashing' confuses Operating Systems with DBMS.
302,"Which process, if any, or may become deadlocked if this whole request is granted immediately? [2+3+2+3] In the capability-based system, describe the techniques, which can be used to protect the capabilities from unauthorized modification. [10] ---00000--- www. jJntuonline.com",160,Deadlock Characterization,Operating Systems,392,Locking systems with several lock modes,DBMS,Cross-subject confusion,Vocabulary overlap on 'modes' confuses Operating Systems with DBMS.
99,What is the structure and role of a page table?,178,Virtual Address Space,Operating Systems,343,Structure of a DBMS,DBMS,Cross-subject confusion,Vocabulary overlap on 'DBMS' confuses Operating Systems with DBMS.
481,What are various types of Error Daetection methods? Explain about Cyclic Redundancy Check Error Detection Method with suitable example. [15] p,198,CRC Codes,Computer Networks,399,Failure with loss of non-volatile storage,DBMS,Cross-subject confusion,Vocabulary overlap on 'storage' confuses Computer Networks with DBMS.
637,a) Give acomparison of various file organizations.,400,External Storage and Indexing,DBMS,184,File System Structure,Operating Systems,Cross-subject confusion,Vocabulary overlap on 'Structure' confuses DBMS with Operating Systems.
504,Find the employees working for Wipro.,359,SQL Queries,DBMS,196,Physical Layer Wireless Transmission Media,Computer Networks,Cross-subject confusion,Vocabulary overlap on 'Media' confuses DBMS with Computer Networks.
