chunk_id,subject,chunk_word_count,correct_topic_id,correct_topic_name,st_top1_id,st_top1_topic_name,st_top1_score,correct_in_top3,category_code,category_label,chunk_text
126,Operating Systems,7,148,Distributed Systems,147,Parallel Systems,0.7364,True,D,AMBIGUOUS_CHUNK,a) Distinguish between parallel and distributed systems.
127,Operating Systems,12,144,Multi-programmed Systems,145,Time-shared Systems,0.7332,True,E,NEAR_MISS_TOP3,Write down the features of multi programmed and Time shared systems. [5+5]
129,Operating Systems,15,187,System Calls for File I/O Operations,151,Operating System Services,0.7391,False,B,CROSS_TOPIC_CONFUSION,Write down the services provided by an operating systems with respect to device management. [5+5]
136,Operating Systems,25,178,Virtual Address Space,,,0.341,False,A,ABSTAINED,"Simulate FIFO, LRU and optimal page replacement algorithms on the following reference string and find number of page faults(number of frames = 4) 1,2,3,2,1,2,3,4,5,6,7,3,4,5,6,3 [10]"
137,Operating Systems,9,176,Logical Versus Physical Address Space,179,Memory Management Unit (MMU),0.4276,True,D,AMBIGUOUS_CHUNK,Explain segmentation memory management scheme with neat diagrams. [10]
147,Operating Systems,6,153,Operations on Processes,,,0.3418,True,A,ABSTAINED,Write about wait command. [2] e
148,Operating Systems,10,157,Scheduling Algorithms,156,Scheduling Criteria,0.5149,True,D,AMBIGUOUS_CHUNK,How does priority scheduling differ from round robin method? [3]
151,Operating Systems,10,178,Virtual Address Space,,,0.1898,True,A,ABSTAINED,What is the purpose of paging the page tpables? [3]
153,Operating Systems,14,181,File System Interface and Access Methods,,,0.374,True,A,ABSTAINED,List down various file attributes. [3] p PART – B e (50 Marks) r
154,Operating Systems,27,144,Multi-programmed Systems,145,Time-shared Systems,0.5496,True,E,NEAR_MISS_TOP3,"a) In a multiprogramming and time-sharing environment, several users share the system s simultaneously. This situation can result in various security problems. What are two such problems?"
159,Operating Systems,21,147,Parallel Systems,155,Threads,0.6498,False,B,CROSS_TOPIC_CONFUSION,Can a multithreaded solution using multiple user-level threads achieve better performance on a multiprocessor system than on a single-processor system? [5+5]
165,Operating Systems,27,178,Virtual Address Space,179,Memory Management Unit (MMU),0.4295,False,B,CROSS_TOPIC_CONFUSION,Explain the concept of Least Recently Used memory page replacement method and how it is different from sFirst In First Out (FIFO) page replacement method. [10] e
173,Operating Systems,6,151,Operating System Services,,,0.47,False,A,ABSTAINED,a) Briefly explain abeout system calls.
176,Operating Systems,12,157,Scheduling Algorithms,,,0.4271,True,A,ABSTAINED,Explain about shortest Job First Scheduling algorithm with an example. [7+8] p
177,Operating Systems,8,157,Scheduling Algorithms,156,Scheduling Criteria,0.4948,True,D,AMBIGUOUS_CHUNK,a) Describe Round Robin scheduling aalgorithm with example.
178,Operating Systems,11,151,Operating System Services,,,0.4181,False,A,ABSTAINED,Explain about fork and exit system calls with examples. [8+7] p
181,Operating Systems,10,154,Cooperating Processes,171,IPC Between Processes on a Single System,0.8138,False,D,AMBIGUOUS_CHUNK,a) Describe IPC between processes on a single computer system.
183,Operating Systems,7,176,Logical Versus Physical Address Space,,,0.226,False,A,ABSTAINED,a) Describe basic method of segmentation. u
184,Operating Systems,8,178,Virtual Address Space,,,0.2962,False,A,ABSTAINED,Explain about performance of demand paging. [8+7] g
189,Operating Systems,77,157,Scheduling Algorithms,152,Process Concepts and Scheduling,0.5422,True,F,TOPIC_GRANULARITY,Consider the following five processes with the length of the CPU burst time in U milliseconds. Process sBurst Time Priority P1 10 3 e P2 1 1 P3 2 d3 P4 1 4 P5 5 2 Processes are assumed to have arrived at time 0. For the above set of processes find the average waiting time and average turn around time - for each of the following scheduling algorithm using Gantt chart. Consider 1 is highest priority:
190,Operating Systems,6,157,Scheduling Algorithms,,,0.24,False,A,ABSTAINED,SJF b) Non Preemptive Priority [7+8]
191,Operating Systems,16,160,Deadlock Characterization,162,Deadlock Prevention,0.5666,True,F,TOPIC_GRANULARITY,What is Deadlock? List the condition that leads to deadlo-ck. How deadlock can be prevented. [15]
197,Operating Systems,6,178,Virtual Address Space,,,0.3209,False,A,ABSTAINED,a) What is Demand paging? Explain.
198,Operating Systems,7,176,Logical Versus Physical Address Space,,,0.2222,False,A,ABSTAINED,Discuss about segmentation with an example. [7+8]
199,Operating Systems,13,160,Deadlock Characterization,,,0.234,False,A,ABSTAINED,What is Mutual exclusion? Explain Peterson’s solution for mutual exclusion problem. [15] ---ooOoo---
202,Operating Systems,19,145,Time-shared Systems,142,Operating System Introduction,0.7072,True,E,NEAR_MISS_TOP3,List out the types of operating system and explain batch OS and time sharing OS in brief. [15] U
203,Operating Systems,13,151,Operating System Services,155,Threads,0.4508,False,B,CROSS_TOPIC_CONFUSION,"Explain about the system calls fork, exit, wait, waitpid and exec. [15] S"
204,Operating Systems,16,167,Semaphores,,,0.4143,True,A,ABSTAINED,What is Semaphore? Give the implementation of Bounded Buffer Producer Consumer Problem using Semaphore. [15] E
205,Operating Systems,8,176,Logical Versus Physical Address Space,179,Memory Management Unit (MMU),0.5462,False,D,AMBIGUOUS_CHUNK,Explain the swapping in memory management. [15] D
207,Operating Systems,10,187,System Calls for File I/O Operations,,,0.4058,True,A,ABSTAINED,Explain about lseek( ) and stat( ) system calls. [7+8]
209,Operating Systems,10,151,Operating System Services,,,0.501,False,A,ABSTAINED,Explain the various system calls are used in -OS. [7+8]
210,Operating Systems,94,149,Real-Time Systems,,,0.5809,False,A,ABSTAINED,"Consider the following set of processes, with the length of the CPU burst given in milliseconds: Process Burst Time Priority - P1 27 5 P2 12 1 2 P3 37 2 P4 19 4 0 P5 10 3 The processes are assumed to have arrived in the order P1, P2, P3, P4, P5 all at time 0. Draw the Gantt charts that illustrate the execution of these processes using the following scheduling algorithms: FCFS, SJF and Priority. Also determine the average waiting time and average turnaround time for each of the algorithms. [15] P"
217,Operating Systems,7,167,Semaphores,,,0.2965,True,A,ABSTAINED,What are the disadvEantages of semaphore. [2]
219,Operating Systems,7,176,Logical Versus Physical Address Space,,,0.3401,False,A,ABSTAINED,Compare internal and external fragmentation. [2] D
224,Operating Systems,14,163,Deadlock Avoidance,,,0.2413,False,A,ABSTAINED,What are the conditions used in Banker’s algorithm? [3] PART – B (50 Marks)
225,Operating Systems,10,151,Operating System Services,,,0.4337,False,A,ABSTAINED,a) Explain different categories of system calls with sui5table example.
229,Operating Systems,13,178,Virtual Address Space,157,Scheduling Algorithms,0.5389,False,B,CROSS_TOPIC_CONFUSION,a) Explain FIFO and Round Robbin CPU scheduling algorithm. Why do we need?
231,Operating Systems,12,157,Scheduling Algorithms,156,Scheduling Criteria,0.7164,True,F,TOPIC_GRANULARITY,a) What are the criteria for evaluating the CPU scheduling algorithm? A
232,Operating Systems,22,178,Virtual Address Space,152,Process Concepts and Scheduling,0.5101,False,B,CROSS_TOPIC_CONFUSION,What is a process? Explain Process Control Block. [5+5] M 6a) What is virtual memory? Discuss the benefits of virtual memory techniques.
234,Operating Systems,26,178,Virtual Address Space,,,0.2555,False,A,ABSTAINED,"a) Consider the following page reference string 1,2,3,4,2,1,5,6,2,1,2,3,7,6,3,2,1,2,3,6 Determine how many page faults would occur for Optimal page replacement algorithm. Assume three frames are initially empty."
235,Operating Systems,10,178,Virtual Address Space,,,0.3154,False,A,ABSTAINED,Discuss the procedure for page fault in demand paging. [5+5]
241,Operating Systems,11,160,Deadlock Characterization,162,Deadlock Prevention,0.5571,True,D,AMBIGUOUS_CHUNK,Explain the technique used to prevent the deadlock. [5+5] H OR
242,Operating Systems,10,163,Deadlock Avoidance,162,Deadlock Prevention,0.6057,True,D,AMBIGUOUS_CHUNK,a) Explain about deadlock conditions and Banker’s algorithm in detail.
249,Operating Systems,5,178,Virtual Address Space,,,0.2673,False,A,ABSTAINED,What is Demand Paging? [2]
254,Operating Systems,13,160,Deadlock Characterization,162,Deadlock Prevention,0.6794,False,F,TOPIC_GRANULARITY,Explain how to eliminate the deadlocks using resource preemption. [3] PART-B (50 Marks)
256,Operating Systems,11,144,Multi-programmed Systems,142,Operating System Introduction,0.6976,False,D,AMBIGUOUS_CHUNK,a) What is operating system? Explain multiprogramming and time sharing systems.
260,Operating Systems,11,165,Critical Section Problem,,,0.3558,False,A,ABSTAINED,a) Discuss the Peterson’s solution for the race condition with algorithm.
261,Operating Systems,40,157,Scheduling Algorithms,,,0.4231,False,A,ABSTAINED,"What is the average waiting time and average turn around times of all processes for FCFS, SJF algorithm? [5+5] A Precesses Burst Time Priority P1 10 3 P2 1 1 M P3 2 3 P4 1 4 P5 5 2"
262,Operating Systems,47,178,Virtual Address Space,,,0.3957,False,A,ABSTAINED,"a) Consider the following page reference string J 1,2,3,4,5,3,4,1,6,7,8,7,8,9,7,8,9,5,4,5,4,2 With four Frames. How many page faults would occur for the FIFO, Optimal page N replacement algorithms? Which algorithm is efficient? (Assume all frame are initially empty) T b) What is Thrashing? Explain the Causes of Thrashing. [5+5]"
263,Operating Systems,48,178,Virtual Address Space,,,0.3333,False,A,ABSTAINED,"a) Consider the following reference string 7,0,1,2,0,3,0,4,2,3,0,3,2,1,2,0,1,7,0,1. H Assume there are three frames. Apply LRU replacement algorithm to the reference sting above and find out how many page faults are produced. Illustrate the LRU page replacement algorithm in detail and also two feasible implementation of the LRU algorithm."
264,Operating Systems,5,176,Logical Versus Physical Address Space,,,0.1681,False,A,ABSTAINED,Explain about Swapping. [5+5] S
265,Operating Systems,63,178,Virtual Address Space,188,Disk Scheduling Algorithms FCFS SSTF SCAN C-SCAN,0.6326,False,B,CROSS_TOPIC_CONFUSION,"a) Suppose that a disk drive has 5000 cylinders numbered 0 to 4999. The drive is currently E serving a request at cylinder 143. The queue of pending requests in FIFO order 86,1470,913,1774,948,1509, 1022, 1750, 130 starting from current head position. What is the total distance that disk aDrm moves to satisfy all the pending request for FCFS and SSTF disk scheduling algorithm."
278,Operating Systems,6,178,Virtual Address Space,,,0.2497,True,A,ABSTAINED,Describe about hashed page table. [2]
279,Operating Systems,9,176,Logical Versus Physical Address Space,,,0.3213,False,A,ABSTAINED,| What do you mean by external fragmentation? [3]
290,Operating Systems,11,170,Monitors,,,0.4201,True,A,ABSTAINED,a) Discuss in detail about the Dining —Philosophers solution using monitors.
291,Operating Systems,9,167,Semaphores,,,0.3081,True,A,ABSTAINED,Illustrate the semaphore functions with examples. 5+5 www. jntuonline.com
292,Operating Systems,52,178,Virtual Address Space,188,Disk Scheduling Algorithms FCFS SSTF SCAN C-SCAN,0.6196,False,B,CROSS_TOPIC_CONFUSION,Perform optimal page replacement on the following reference string: page replacement? utilization in case of thrashing. Explain how best fit allocation scheme minimized the fragment size? What are the disadvantages of single contiguous memory allocation? Explain. Explain and compare the FCFS and SSTF disk scheduling algorithms. Illustrate the following terms with examples.
293,Operating Systems,68,163,Deadlock Avoidance,162,Deadlock Prevention,0.702,True,F,TOPIC_GRANULARITY,"Bit vector ) Swap space management. Describe in detail the implementation methods of Access matrix. avoidance algorithm in detail. ---00000--- www. jntuonline.com -7,0,1,2,0,3,0,4,2,3,0,3,2,1,2,0,1,7,0,1 find number of page faults and define optimal Define thrashing? Explain its causes and write any two solutions to increase CPU What is fragment? Explain the difference between internal and external fragments. How does deadlock avoidance differ from deadlock prevention? Write about deadlock [10 [10"
297,Operating Systems,104,178,Virtual Address Space,170,Monitors,0.4468,False,B,CROSS_TOPIC_CONFUSION,"What is a monitor? Explain how dinning philosopher’s problem is solved using monitors with example pseudo code. [10] Explain the common techniques for structuring the page table. [10] Consider a swap ing system in which memory consists of the following hole sizes in memory order: KB, 4 KB, 20 KB, 18 KB, 7 KB, 9 KB, 12 KB, and [5 KB. Which ole is taken for successive segment requests of: (i) 12 KB (ii) 10 KB (iii) 9 KB for first fit, best fit, worst fit, and next fit approaches. Explain briefly about LFU Page replacement algorithm. [5+5] Explain the following with relevant diagrams:"
298,Operating Systems,66,163,Deadlock Avoidance,182,Directory Structure,0.6909,False,B,CROSS_TOPIC_CONFUSION,Two level directory structure. )) Acyclic-graph directory structure. [5+5] Explain any two methods used to protect user files with examples. Discuss the log structured file system implementation. [5+5] Consider the following snapshot of a system: Processes Allocation Max Available ABCD ABCD ABCD PO 0012 0012 2100 Pl 2000 2750 P2 0034 6656 P3 2345 4356 P4 0332 0652 Answer the following questions using the banker’s algorithm:
302,Operating Systems,38,160,Deadlock Characterization,162,Deadlock Prevention,0.4612,True,F,TOPIC_GRANULARITY,"Which process, if any, or may become deadlocked if this whole request is granted immediately? [2+3+2+3] In the capability-based system, describe the techniques, which can be used to protect the capabilities from unauthorized modification. [10] ---00000--- www. jJntuonline.com"
307,Computer Networks,5,201,Multi Access Protocols,,,0.2702,False,A,ABSTAINED,What is channel allocation problem?
311,Computer Networks,11,191,TCP/IP Protocol Suite,244,TCP Service Model,0.6773,False,D,AMBIGUOUS_CHUNK,Explain in detail about TCP/IP network reference model with neat diagram.
333,Computer Networks,7,197,Data Link Layer Design Issues,,,0.5487,True,A,ABSTAINED,Explain about data link layer swritching. [3]
345,Computer Networks,11,201,Multi Access Protocols,202,ALOHA,0.5349,False,D,AMBIGUOUS_CHUNK,Explain how slotted ALOHA solves the problem of Channel allocation. [5+5]
353,Computer Networks,15,229,IP Addresses,259,DNS,0.7334,True,E,NEAR_MISS_TOP3,a) e How DNS service maps domain names to IP addresses? Explain with an example.
377,Computer Networks,63,229,IP Addresses,238,Connection Establishment,0.7375,False,B,CROSS_TOPIC_CONFUSION,"Elucidate the special IP addresses used in internet. Discuss the significance and the operation of NAT. Illustrate the connection establishment and release in transport layer. How crash recovery is managed at the transport layer? Explain Real-time transport protocol. When user clicks a hyperlink, what are the steps that occur between the user’s clic! the page being displayed? Write short notes on the following:"
384,Computer Networks,5,215,Routing Algorithms,221,Hierarchical Routing,0.5336,True,D,AMBIGUOUS_CHUNK,What is non-adaptive routing? [2]
390,Computer Networks,8,191,TCP/IP Protocol Suite,244,TCP Service Model,0.6931,False,D,AMBIGUOUS_CHUNK,Explain the TCP/IP reference model. [10] OR s
394,Computer Networks,8,215,Routing Algorithms,217,Shortest Path Routing,0.8173,True,D,AMBIGUOUS_CHUNK,Explain the shortest-path routing algorithm. [10] OR 3
395,Computer Networks,5,229,IP Addresses,227,IPv4 Protocol,0.6334,True,D,AMBIGUOUS_CHUNK,a) Explain the IPV4 header.
407,Computer Networks,6,229,IP Addresses,230,CIDR,0.6294,False,D,AMBIGUOUS_CHUNK,What is CIDR addressing 1 [2]
426,Computer Networks,5,206,Ethernet MAC Sublayer,,,0.3702,True,A,ABSTAINED,Define Gigabit Ethernet. [2] r
430,Computer Networks,7,215,Routing Algorithms,225,Internetwork Routing,0.8796,True,D,AMBIGUOUS_CHUNK,What is meant by Internetwork routing? [2]
431,Computer Networks,9,229,IP Addresses,228,IPv6 Protocol,0.6385,False,D,AMBIGUOUS_CHUNK,Mention the differences between IPv4 and IPv6. [3] -
450,Computer Networks,13,206,Ethernet MAC Sublayer,,,0.3942,True,A,ABSTAINED,a) What are the different cable topBologies of an Ethernet? Explain Manchester Encoding.
456,Computer Networks,15,229,IP Addresses,227,IPv4 Protocol,0.5556,False,B,CROSS_TOPIC_CONFUSION,a) What is the format of IPv4 header? Describe the significance of each field. -
458,Computer Networks,12,238,Connection Establishment,246,TCP Connection Establishment,0.7983,False,F,TOPIC_GRANULARITY,a) Discuss in detail about the connection establishment and release in TCP.
459,Computer Networks,15,229,IP Addresses,259,DNS,0.6859,True,E,NEAR_MISS_TOP3,How DNS service maps domain names to IP addresses. [8+7] - ---ooOoo--- - P M
461,Computer Networks,17,194,Comparison of OSI and TCP/IP Reference Model,192,The OSI Model,0.6296,True,E,NEAR_MISS_TOP3,Explain about the functionality of each layer in ISO-OSI reference model with a neat sketch. [5+10] P
464,Computer Networks,12,197,Data Link Layer Design Issues,199,Elementary Data Link Layer Protocols,0.5847,True,F,TOPIC_GRANULARITY,What is framing? ExplainP various framing techniques of Data Link Layer. [15]
465,Computer Networks,12,201,Multi Access Protocols,202,ALOHA,0.6143,False,B,CROSS_TOPIC_CONFUSION,a) Compare and contrast Pure ALEOHA and Slotted ALOHA channel allocation Methods.
480,Computer Networks,11,201,Multi Access Protocols,203,CSMA,0.693,False,D,AMBIGUOUS_CHUNK,Compare and contrast CSMA/CD and CSMA/CA for channel allocation. [7+8] p
481,Computer Networks,21,198,CRC Codes,,,0.313,True,A,ABSTAINED,What are various types of Error Daetection methods? Explain about Cyclic Redundancy Check Error Detection Method with suitable example. [15] p
484,Computer Networks,8,215,Routing Algorithms,219,Distance Vector Routing,0.6337,True,D,AMBIGUOUS_CHUNK,a) Describe link state vector routing algorithm example.
494,DBMS,6,357,Tuple relational calculus,,,0.3368,False,A,ABSTAINED,What is an unsafe query? [2]
496,DBMS,6,368,Problems caused by redundancy,,,0.2787,False,A,ABSTAINED,Give example for spurious tuples. [3]
497,DBMS,8,392,Locking systems with several lock modes,,,0.2397,False,A,ABSTAINED,What are the benefits of multiple granularity? [3]
503,DBMS,6,359,SQL Queries,,,0.1999,False,A,ABSTAINED,Find the employees hailing from Kolkata.
504,DBMS,6,359,SQL Queries,,,0.1572,False,A,ABSTAINED,Find the employees working for Wipro.
505,DBMS,10,359,SQL Queries,,,0.1745,False,A,ABSTAINED,Find the average salary of employees working for IBM. [3+3+4]
506,DBMS,13,344,Database design and ER diagrams,367,Schema refinement,0.8203,True,E,NEAR_MISS_TOP3,Explain the need of schema refinement in database design with suitable examples. [10]
507,DBMS,13,377,BCNF,379,Fourth normal form,0.5758,False,B,CROSS_TOPIC_CONFUSION,Make a comparison of Boyce Codd normal form and Fourth normal form. [10]
521,DBMS,7,338,Database System Applications,343,Structure of a DBMS,0.6485,True,D,AMBIGUOUS_CHUNK,a) List the applications of DBMS. p
524,DBMS,7,354,Introduction to views,,,0.3846,True,A,ABSTAINED,Write a note on views. p [5+5]
526,DBMS,11,364,NULL values,,,0.3664,True,A,ABSTAINED,How to perform comparison using NULL values? Explain. r [5+5] s
529,DBMS,9,369,Decompositions and associated problems,,,0.379,False,A,ABSTAINED,a) Write detailed notes on the dependency preserving decomposition.
530,DBMS,5,374,First normal form,,,0.3949,False,A,ABSTAINED,Explain fifth Normal form. [5+5]
532,DBMS,15,399,Failure with loss of non-volatile storage,343,Structure of a DBMS,0.5099,False,B,CROSS_TOPIC_CONFUSION,Why we need to backup database? Discuss the remote backup systems of the DBMS. [10]
533,DBMS,8,400,External Storage and Indexing,339,File Systems versus a DBMS,0.7433,False,D,AMBIGUOUS_CHUNK,Elaborate on file organization of the DBMS. [10]
536,DBMS,13,338,Database System Applications,339,File Systems versus a DBMS,0.6462,True,E,NEAR_MISS_TOP3,a) Define database management systems? Differentiate file system with data base managemeUnt systems.
540,DBMS,16,359,SQL Queries,,,0.2276,False,A,ABSTAINED,Display the students list whose fees due in between 5000 and 10000 (from Fees Relation) p
546,DBMS,11,356,Relational algebra,,,0.4964,False,A,ABSTAINED,a) Discuss various types of join operations with an example. g
549,DBMS,13,374,First normal form,,,0.3311,True,A,ABSTAINED,What is Boyce code normal form? Explain with a suitable example. [8+7] J
550,DBMS,15,395,Log-based recovery,396,Recovery with concurrent transactions,0.516,True,E,NEAR_MISS_TOP3,a) What is deferred update recovery technique and how it used in database recovery? N
552,DBMS,14,391,Serializability by locks,392,Locking systems with several lock modes,0.492,True,E,NEAR_MISS_TOP3,a) What is two phase locking? Describe with the help of a suitable example.
561,DBMS,12,354,Introduction to views,340,Data Models,0.5045,False,B,CROSS_TOPIC_CONFUSION,a) What is a view? Discuss its role in database security. s
565,DBMS,12,374,First normal form,378,Multivalued dependencies,0.524,False,B,CROSS_TOPIC_CONFUSION,Describe multi valued dependencies and the normal form associated with it. [15]
572,DBMS,12,344,Database design and ER diagrams,,,0.516,False,A,ABSTAINED,a) Discuss about class hierarchies and constraints on them in ER Model.
573,DBMS,9,344,Database design and ER diagrams,,,0.3988,True,A,ABSTAINED,Construct an SER diagram for college admission systems. [8+7]
582,DBMS,7,369,Decompositions and associated problems,,,0.3991,True,A,ABSTAINED,a) Describe the problems related to decomposition.
584,DBMS,13,391,Serializability by locks,392,Locking systems with several lock modes,0.5372,True,E,NEAR_MISS_TOP3,Discuss two phase locking protocol. Explain all its variants with necessary schedules. [15]
587,DBMS,46,408,B+ Trees,,,0.3753,True,A,ABSTAINED,"Discuss B+ tree as indexing structure. Bulk load the B+ tree with the following records (key*) format. A page can hold only two data records. Index record can hold two keys. M 44*, 34*, 12*, 35*, 25*, 56*, 7*, 91*, 36*, 87*, 3*, 45*. [15] ---ooOoo---"
588,DBMS,6,338,Database System Applications,343,Structure of a DBMS,0.6918,True,D,AMBIGUOUS_CHUNK,Write the applications of DBMS. [3]
590,DBMS,7,369,Decompositions and associated problems,,,0.3939,True,A,ABSTAINED,What are the properties of decompositions? [3]
604,DBMS,13,374,First normal form,376,Third normal form,0.573,False,F,TOPIC_GRANULARITY,"What is normal form? Explain normalization using (1NF, 2NF, 3NF) with examples. [10]"
614,DBMS,32,344,Database design and ER diagrams,358,Domain relational calculus,0.773,False,B,CROSS_TOPIC_CONFUSION,Let R =(ABC) and S=(DEF) let r(R) and s(S) be relations on schema R and S. Give an expression in the Domain relational calculus that is equivalent to each of the following.
616,DBMS,5,344,Database design and ER diagrams,367,Schema refinement,0.8452,False,D,AMBIGUOUS_CHUNK,What is schema refinement? [2]
617,DBMS,8,356,Relational algebra,378,Multivalued dependencies,0.6184,False,D,AMBIGUOUS_CHUNK,Define Multi valued dependencies and join dependency. [3]
620,DBMS,12,409,Static Hashing,411,Linear Hashing,0.5072,True,F,TOPIC_GRANULARITY,What is the difference between indexing and hashing? [3] PART-B (50 Marks)
621,DBMS,7,354,Introduction to views,344,Database design and ER diagrams,0.6346,False,D,AMBIGUOUS_CHUNK,Give an overview of database architecture. [10]
622,DBMS,11,354,Introduction to views,340,Data Models,0.6088,False,D,AMBIGUOUS_CHUNK,a) Give an overview of database languages – DDL and DML.
630,DBMS,12,369,Decompositions and associated problems,368,Problems caused by redundancy,0.5984,True,E,NEAR_MISS_TOP3,What are the problems caused by redundancy and decomposition of relation? [5+5]
634,DBMS,8,354,Introduction to views,394,Validation,0.5646,False,D,AMBIGUOUS_CHUNK,Give an overview of validation based protocol. [5+5]
635,DBMS,9,392,Locking systems with several lock modes,393,Concurrency control by timestamps,0.6238,False,D,AMBIGUOUS_CHUNK,a) Explain about the Multiple granularity Concurrency Control protocol.
636,DBMS,6,399,Failure with loss of non-volatile storage,,,0.3369,False,A,ABSTAINED,Explain about remote backup system. [5+5]
637,DBMS,7,400,External Storage and Indexing,339,File Systems versus a DBMS,0.4711,False,D,AMBIGUOUS_CHUNK,a) Give acomparison of various file organizations.
639,DBMS,20,409,Static Hashing,410,Extendible Hashing,0.5109,True,F,TOPIC_GRANULARITY,How does Extendable hashing use a directory of buckets? How does it handles the insert and delete operations? [10] ---ooOoo---
640,DBMS,267,377,BCNF,338,Database System Applications,0.6952,False,B,CROSS_TOPIC_CONFUSION,"a) Part A is compulsory which carries 25 marks. Answer all questions in Part A. Part B consists of 5 Units. Answer any one full question from each unit. Each question carries 10 marks and may have a, b, c as sub questions. PART-A (25 Marks) What are five main functions of a database administrator? 2 List and explain the database system applications. 3 Define a trigger. What are the differences between row level and statement level triggers? 2 How are queries expressed in SQL? 3 List the benefits of BCNF and 3NF. 2 Write the Properties of Decompositions. 3 Why is recoverability of schedules desirable? 2 Suppose that there is a database system that never fails. Is a recovery manager required for this system? 3 How is data organized in a hash based index? 2 Give a brief note on Static Hashing. 3 PART -B (50 Marks) What is a partial key? How is it represented in ER diagram? Give an example. Define query. Explain the data manipulation language in detail. 5+5] Explain how to build ER model for university with entities department, instructor, student, and class. Instructors and students belong to one department only. Instructors and students related to a class with many to many relations. Assume suitable attributes. Explain how the ER model can be translated to relations. List and explain the design issues of entity relationship. [5+5] Consider the following schema instructor (ID, name, dept_name), teaches (ID, course_id, sec_id, semester, year), section (course_id, sec_id, semester, year), student (ID, name, dept_name), takes (ID, course_id, sec_id, semester, year, grade) Write the following queries in SQL"
645,DBMS,76,344,Database design and ER diagrams,,,0.6969,False,A,ABSTAINED,Make a comparison between the tuple relational calculus and domain re calculus. What are nested queries? What is correlation in nested queries? Explain. Discuss how schema refinement through dependency analysis and norma! can improve schemas obtained through ER design. F when it is in INF? Explain. Discuss about log based recovery with immediate update and deferred with suitable examples. ational 5+5] lization Why is a table whose primary key consists of a single attribute automatically in
648,DBMS,9,354,Introduction to views,355,Destroying/altering tables and views,0.6033,True,D,AMBIGUOUS_CHUNK,Write brief notes on altering tables and views. 3]
649,DBMS,5,356,Relational algebra,,,0.4251,False,A,ABSTAINED,Describe about outer join. 2)
654,DBMS,8,399,Failure with loss of non-volatile storage,,,0.3432,False,A,ABSTAINED,What is meant by remote backup system? 3]
662,DBMS,7,377,BCNF,379,Fourth normal form,0.5837,True,D,AMBIGUOUS_CHUNK,Explain fourth normal form and BCNF. 0
665,DBMS,14,411,Linear Hashing,410,Extendible Hashing,0.5471,True,F,TOPIC_GRANULARITY,What is meant by extendable hashing? How it is different from linear hashing? 0
