pyq_id,subject,question_text,assigned_topic_id,assigned_topic_name,status
579,DBMS,Find the suppliers who supply only blue parts. [3+3+3+3+3],356,Relational algebra,LOCKED
580,DBMS,a) Discuss the group by clause in SQL with illustrations.,363,Aggregation operators,LOCKED
581,DBMS,What is a nested query? Discuss a correlated nested1 query with examples. [7+8] -,362,Nested queries,LOCKED
586,DBMS,Explain write-ahead log protocol in detail. [8+7] A,395,Log-based recovery,LOCKED
593,DBMS,Explain the architecture of Database Management Systems with a neat diagram. [10],343,Structure of a DBMS,LOCKED
594,DBMS,a) What are the statements in SQL for destroying and altering tables?,355,Destroying/altering tables and views,LOCKED
595,DBMS,What is a primary key and foreign key? [5+5],350,Integrity constraints over relations,LOCKED
599,DBMS,Find the Sailor id’s with age over 20 and who have not reserved a red boat.,356,Relational algebra,LOCKED
600,DBMS,Find the names of Sailors who reserved boat 103,356,Relational algebra,LOCKED
602,DBMS,a) What are the problems of redundancy? Explain with example.,368,Problems caused by redundancy,LOCKED
603,DBMS,What is the solution to the problems of redundancy? Explain. [5+5],368,Problems caused by redundancy,LOCKED
605,DBMS,a) Explain the properties of transactions.,381,Transaction concept,LOCKED
606,DBMS,What are the concurrent control mechanisms without locking? [5+5],393,Concurrency control by timestamps,LOCKED
607,DBMS,a) What is ARIES algorithm? Explain.,395,Log-based recovery,LOCKED
608,DBMS,Explain media recovery. [5+5] www.manaresults.co.in,399,Failure with loss of non-volatile storage,LOCKED
609,DBMS,Explain Indexed Sequential Access Method. [10],407,ISAM,LOCKED
611,DBMS,a) How to represent the strong Entity set and Weak entity set in ER-Model? [2],344,Database design and ER diagrams,LOCKED
612,DBMS,Explain about various integrity constraints in relational model. [3],349,Introduction to the Relational Model,LOCKED
613,DBMS,What are the SQL statements are used to retrieve and modify the database? [2],359,SQL Queries,LOCKED
615,DBMS,"σ (r) ii) ∏ ( σ (rXs)) [3] B=25 A,F, C=D",356,Relational algebra,LOCKED
618,DBMS,Explain Failure with loss of nonvolatile storage. [3],399,Failure with loss of non-volatile storage,LOCKED
623,DBMS,What are speciality databases? Explain. [5+5],338,Database System Applications,LOCKED
626,DBMS,a) What is trigger? Explain how to implement triggers in SQL?,366,Triggers and active databases,LOCKED
627,DBMS,Explain the following Operators in SQL with examples:,361,"UNION, INTERSECT, and EXCEPT",LOCKED
628,DBMS,SOME ii) IN iii) EXCEPT v) UNION. [5+5],361,"UNION, INTERSECT, and EXCEPT",LOCKED
629,DBMS,a) What do you mean by scheme refinement? Explain how it can be accomplished?,367,Schema refinement,LOCKED
631,DBMS,"a) Compute the closure of the following set of functional dependencies for a relation scheme. R(A,B,C,D,E,F,G,H), F={ ABC, BDEF, ADG,AH} List the candidate keys of R.",370,Reasoning about functional dependencies,LOCKED
633,DBMS,a) What is transaction? Explain the properties of transaction.,381,Transaction concept,LOCKED
641,DBMS,Find the names of the students not registered in any section,359,SQL Queries,LOCKED
642,DBMS,Find the names of the instructors not teaching any course,359,SQL Queries,LOCKED
643,DBMS,Find the total number of courses taught department wise,359,SQL Queries,LOCKED
644,DBMS,Find the total Wuitber of dciived sMUIar wore [10] S,,,EXCLUDE
647,DBMS,a) Discuss about DDL. 2],359,SQL Queries,LOCKED
652,DBMS,Describe the inclusion dependencies. 3],378,Multivalued dependencies,LOCKED
657,DBMS,Explain the relational database architecture. 0,343,Structure of a DBMS,LOCKED
658,DBMS,State and explain various features of E-R Models. 0,344,Database design and ER diagrams,LOCKED
664,DBMS,Discuss about failure with loss of nonvolatile storage. 0,399,Failure with loss of non-volatile storage,LOCKED
666,DBMS,What are the indexed data structures? Explain any one of them. 0 www. jJntuonline.com --00000--,400,External Storage and Indexing,LOCKED
