chunk_id,chunk_text,subject,correct_topic_id,correct_topic_name
241,Explain the technique used to prevent the deadlock. [5+5] H OR,Operating Systems,160,Deadlock Characterization
242,a) Explain about deadlock conditions and Banker’s algorithm in detail.,Operating Systems,163,Deadlock Avoidance
248,What are the requirements of Critical section problem? [3] E,Operating Systems,165,Critical Section Problem
249,What is Demand Paging? [2],Operating Systems,178,Virtual Address Space
250,Distinguish between logical and physical address space. [3],Operating Systems,176,Logical Versus Physical Address Space
254,Explain how to eliminate the deadlocks using resource preemption. [3] PART-B (50 Marks),Operating Systems,160,Deadlock Characterization
256,a) What is operating system? Explain multiprogramming and time sharing systems.,Operating Systems,144,Multi-programmed Systems
259,What is Semaphore? How can we achieve the synchronization 0using semaphore for producer consumer problem? [5+5] OR 1,Operating Systems,167,Semaphores
260,a) Discuss the Peterson’s solution for the race condition with algorithm.,Operating Systems,165,Critical Section Problem
261,"What is the average waiting time and average turn around times of all processes for FCFS, SJF algorithm? [5+5] A Precesses Burst Time Priority P1 10 3 P2 1 1 M P3 2 3 P4 1 4 P5 5 2",Operating Systems,157,Scheduling Algorithms
262,"a) Consider the following page reference string J 1,2,3,4,5,3,4,1,6,7,8,7,8,9,7,8,9,5,4,5,4,2 With four Frames. How many page faults would occur for the FIFO, Optimal page N replacement algorithms? Which algorithm is efficient? (Assume all frame are initially empty) T b) What is Thrashing? Explain the Causes of Thrashing. [5+5]",Operating Systems,178,Virtual Address Space
263,"a) Consider the following reference string 7,0,1,2,0,3,0,4,2,3,0,3,2,1,2,0,1,7,0,1. H Assume there are three frames. Apply LRU replacement algorithm to the reference sting above and find out how many page faults are produced. Illustrate the LRU page replacement algorithm in detail and also two feasible implementation of the LRU algorithm.",Operating Systems,178,Virtual Address Space
264,Explain about Swapping. [5+5] S,Operating Systems,176,Logical Versus Physical Address Space
265,"a) Suppose that a disk drive has 5000 cylinders numbered 0 to 4999. The drive is currently E serving a request at cylinder 143. The queue of pending requests in FIFO order 86,1470,913,1774,948,1509, 1022, 1750, 130 starting from current head position. What is the total distance that disk aDrm moves to satisfy all the pending request for FCFS and SSTF disk scheduling algorithm.",Operating Systems,178,Virtual Address Space
266,Explain about the system call for File operations. [5+5],Operating Systems,187,System Calls for File I/O Operations
267,Explain the following disk scheduling algo0rithm with proper diagram,Operating Systems,188,Disk Scheduling Algorithms FCFS SSTF SCAN C-SCAN
269,Explain about the bankers algorithm for deadlock avoidance. [5+5] OR 0,Operating Systems,163,Deadlock Avoidance
271,What is deadlock? Explain the conditions that lead to deadlock. [5+5] ---ooOoo--- A M,Operating Systems,160,Deadlock Characterization
275,Define Real time operating systems. [3],Operating Systems,149,Real-Time Systems
278,Describe about hashed page table. [2],Operating Systems,178,Virtual Address Space
279,| What do you mean by external fragmentation? [3],Operating Systems,176,Logical Versus Physical Address Space
280,Describe about File Allocation Table. [2],Operating Systems,185,File Allocation Methods
281,Mention two important functions of Virtual File System. (VFS) Layer. [3],Operating Systems,184,File System Structure
283,List the necessary conditions to occur the Deadlock. [3] PART -B (50 Marks),Operating Systems,160,Deadlock Characterization
289,"By illustrating the structure of process P1, explain the Petersons solution to critical section problem. 5+5",Operating Systems,165,Critical Section Problem
290,a) Discuss in detail about the Dining —Philosophers solution using monitors.,Operating Systems,170,Monitors
291,Illustrate the semaphore functions with examples. 5+5 www. jntuonline.com,Operating Systems,167,Semaphores
292,Perform optimal page replacement on the following reference string: page replacement? utilization in case of thrashing. Explain how best fit allocation scheme minimized the fragment size? What are the disadvantages of single contiguous memory allocation? Explain. Explain and compare the FCFS and SSTF disk scheduling algorithms. Illustrate the following terms with examples.,Operating Systems,178,Virtual Address Space
293,"Bit vector ) Swap space management. Describe in detail the implementation methods of Access matrix. avoidance algorithm in detail. ---00000--- www. jntuonline.com -7,0,1,2,0,3,0,4,2,3,0,3,2,1,2,0,1,7,0,1 find number of page faults and define optimal Define thrashing? Explain its causes and write any two solutions to increase CPU What is fragment? Explain the difference between internal and external fragments. How does deadlock avoidance differ from deadlock prevention? Write about deadlock [10 [10",Operating Systems,163,Deadlock Avoidance
297,"What is a monitor? Explain how dinning philosopher’s problem is solved using monitors with example pseudo code. [10] Explain the common techniques for structuring the page table. [10] Consider a swap ing system in which memory consists of the following hole sizes in memory order: KB, 4 KB, 20 KB, 18 KB, 7 KB, 9 KB, 12 KB, and [5 KB. Which ole is taken for successive segment requests of: (i) 12 KB (ii) 10 KB (iii) 9 KB for first fit, best fit, worst fit, and next fit approaches. Explain briefly about LFU Page replacement algorithm. [5+5] Explain the following with relevant diagrams:",Operating Systems,178,Virtual Address Space
298,Two level directory structure. )) Acyclic-graph directory structure. [5+5] Explain any two methods used to protect user files with examples. Discuss the log structured file system implementation. [5+5] Consider the following snapshot of a system: Processes Allocation Max Available ABCD ABCD ABCD PO 0012 0012 2100 Pl 2000 2750 P2 0034 6656 P3 2345 4356 P4 0332 0652 Answer the following questions using the banker’s algorithm:,Operating Systems,163,Deadlock Avoidance
301,Is the system currently deadlocked? Why or why not?,Operating Systems,160,Deadlock Characterization
302,"Which process, if any, or may become deadlocked if this whole request is granted immediately? [2+3+2+3] In the capability-based system, describe the techniques, which can be used to protect the capabilities from unauthorized modification. [10] ---00000--- www. jJntuonline.com",Operating Systems,160,Deadlock Characterization
305,List out the two sub layers of data link layer.,Computer Networks,197,Data Link Layer Design Issues
306,What is the purpose of Aloha protocols?,Computer Networks,202,ALOHA
307,What is channel allocation problem?,Computer Networks,201,Multi Access Protocols
308,Define congestion in a network.,Computer Networks,222,Congestion Control Algorithms
311,Explain in detail about TCP/IP network reference model with neat diagram.,Computer Networks,191,TCP/IP Protocol Suite
312,a) Describe the functionalities provided by data link layer.,Computer Networks,197,Data Link Layer Design Issues
314,Describe sliding window protocol using selective repeat mechanism.,Computer Networks,200,Sliding Window Protocol
315,Explain the concept of data link layer switching in detail.,Computer Networks,207,Data Link Layer Switching
317,Explain congestion control mechanisms at network layer.,Computer Networks,222,Congestion Control Algorithms
318,a) Describe the multicast routing in detail.,Computer Networks,215,Routing Algorithms
324,a) Explain in detail about HTTP operation.,Computer Networks,255,HTTP
325,Summarize the functions performed by DNS.,Computer Networks,259,DNS
326,"a) Describe the message format, message transfer and the underlying protocol involved in the working of the electronic mail.",Computer Networks,257,Electronic Mail
333,Explain about data link layer swritching. [3],Computer Networks,197,Data Link Layer Design Issues
334,What is Flooding? Explain. [2],Computer Networks,218,Flooding
340,a) Compare and contrast the OSI and TCP/IP reference models.h,Computer Networks,194,Comparison of OSI and TCP/IP Reference Model
345,Explain how slotted ALOHA solves the problem of Channel allocation. [5+5],Computer Networks,201,Multi Access Protocols
346,a) Explain one -bit sliding window protocol. Give the advantages and disadvantages of one-bit sliding window protocol.,Computer Networks,200,Sliding Window Protocol
347,Discuss about Carrier Sense Multiple Access (CSMA) protocols in brief. [5+5],Computer Networks,203,CSMA
348,"With an example, explain shortest path routing technique. [10]",Computer Networks,217,Shortest Path Routing
349,a) Discuss about distance vector routing algorithm with an example.,Computer Networks,219,Distance Vector Routing
350,Explain the general principles of congestion control algorithms. [5+5],Computer Networks,222,Congestion Control Algorithms
353,a) e How DNS service maps domain names to IP addresses? Explain with an example.,Computer Networks,229,IP Addresses
355,"a) With neat sketch, explain the architecture, services and message format of Electronic Mail. P",Computer Networks,257,Electronic Mail
356,What is DNS? What resource records are associated with it? Explain. [5+5] p ---ooOoo--- e M c h -,Computer Networks,259,DNS
361,Give the advantages of hierarchical routing. [2],Computer Networks,221,Hierarchical Routing
366,a) | Compare and contrast the OSI and TCP/IP reference models.,Computer Networks,194,Comparison of OSI and TCP/IP Reference Model
367,What are the different types of error detection methods? Explain the CRC error detection technique using generator polynomial x‘+x?+1 and data 11100011. 5+5,Computer Networks,198,CRC Codes
369,Explain about GBN Sliding Window Protocol. 5+5,Computer Networks,200,Sliding Window Protocol
371,— Elucidate the CSMA schemes. 5+5,Computer Networks,203,CSMA
373,Give a detail note on the ALOHA protocols. 5+5,Computer Networks,202,ALOHA
374,a) — Elucidate Distance Vector Routing Algorithm with example.,Computer Networks,219,Distance Vector Routing
375,Describe the problem and solutions associated with distance vector routing. 5+5,Computer Networks,219,Distance Vector Routing
377,"Elucidate the special IP addresses used in internet. Discuss the significance and the operation of NAT. Illustrate the connection establishment and release in transport layer. How crash recovery is managed at the transport layer? Explain Real-time transport protocol. When user clicks a hyperlink, what are the steps that occur between the user’s clic! the page being displayed? Write short notes on the following:",Computer Networks,229,IP Addresses
378,MIME (b) Audio compression (c) DNS (d) Voice over ---00000--- www. jntuonline.com and [10],Computer Networks,259,DNS
384,What is non-adaptive routing? [2],Computer Networks,215,Routing Algorithms
385,What is meant by congestion? d [3],Computer Networks,222,Congestion Control Algorithms
389,What is DNS? a [3] PART – B p (50 Marks) e r,Computer Networks,259,DNS
390,Explain the TCP/IP reference model. [10] OR s,Computer Networks,191,TCP/IP Protocol Suite
394,Explain the shortest-path routing algorithm. [10] OR 3,Computer Networks,215,Routing Algorithms
395,a) Explain the IPV4 header.,Computer Networks,229,IP Addresses
396,What is packet fragmentation? [5+5],Computer Networks,226,Packet Fragmentation
402,Discuss the design issues of data link layer. [3],Computer Networks,197,Data Link Layer Design Issues
405,What is optimality principle? [2],Computer Networks,216,Optimality Principle
406,Discuss congestion control algorithms on brief. [3],Computer Networks,222,Congestion Control Algorithms
407,What is CIDR addressing 1 [2],Computer Networks,229,IP Addresses
411,Compare and contrast OSI and TCP/IP reference models. Critique on each model. [10] OR 2,Computer Networks,194,Comparison of OSI and TCP/IP Reference Model
412,a) Explain sliding window protocol.,Computer Networks,200,Sliding Window Protocol
414,Define collision. Explain collision free protocols. Mention advantage of each protocol. 8 [10],Computer Networks,204,Collision Free Protocols
415,"a) The major problem with distance vector routing algorithm is ‘count to infinity’. How exchange complete path form router to destination instead of delay, helps in solving count to infinity problem.",Computer Networks,219,Distance Vector Routing
417,Discuss the hierarchical routing with examples. [10],Computer Networks,221,Hierarchical Routing
421,Explain Tunneling in Internet layer. [5+5] s,Computer Networks,224,Tunneling
423,Describe DNS with diagrams and real-time examples. [10] a ---ooOoo--- e r,Computer Networks,259,DNS
426,Define Gigabit Ethernet. [2] r,Computer Networks,206,Ethernet MAC Sublayer
429,What are the approaches to appl0y on the congestion control? [3],Computer Networks,222,Congestion Control Algorithms
430,What is meant by Internetwork routing? [2],Computer Networks,215,Routing Algorithms
431,Mention the differences between IPv4 and IPv6. [3] -,Computer Networks,229,IP Addresses
432,Write short notes on TELNET. [2],Computer Networks,258,TELNET
434,"Explain OSI reference models, and compare with TCP/IP reference model. [10]",Computer Networks,194,Comparison of OSI and TCP/IP Reference Model
435,a) Explain sliding window protocol with an illustration. 1,Computer Networks,200,Sliding Window Protocol
437,Ethernet MAC sub layer protocol. P,Computer Networks,206,Ethernet MAC Sublayer
439,Write in detail about Link-state routing algorithm and mention its advantages and disadvantages. [10],Computer Networks,215,Routing Algorithms
440,What are the principles of congestion control? Explain it with virtual circuit subnets. [10],Computer Networks,222,Congestion Control Algorithms
443,DNS. [5+5] a ---ooOoo--- e r - P M,Computer Networks,259,DNS
444,a) Elaborate on the design issues of data link layer.,Computer Networks,197,Data Link Layer Design Issues
448,a) Write about CSMA and CSMA/CD in detail.,Computer Networks,203,CSMA
449,What is Carrier Sensee Multiple Access? Explain about the different approaches of CSMA. r [7+8],Computer Networks,203,CSMA
450,a) What are the different cable topBologies of an Ethernet? Explain Manchester Encoding.,Computer Networks,206,Ethernet MAC Sublayer
452,a) Explain shortest path routing algorithm with an example,Computer Networks,217,Shortest Path Routing
453,Discuss the Optimality Principle with a suiEtable example. [7+8],Computer Networks,216,Optimality Principle
455,Explain the prevention polices of congestion. [7+8] H,Computer Networks,222,Congestion Control Algorithms
456,a) What is the format of IPv4 header? Describe the significance of each field. -,Computer Networks,229,IP Addresses
458,a) Discuss in detail about the connection establishment and release in TCP.,Computer Networks,238,Connection Establishment
459,How DNS service maps domain names to IP addresses. [8+7] - ---ooOoo--- - P M,Computer Networks,229,IP Addresses
461,Explain about the functionality of each layer in ISO-OSI reference model with a neat sketch. [5+10] P,Computer Networks,194,Comparison of OSI and TCP/IP Reference Model
464,What is framing? ExplainP various framing techniques of Data Link Layer. [15],Computer Networks,197,Data Link Layer Design Issues
465,a) Compare and contrast Pure ALEOHA and Slotted ALOHA channel allocation Methods.,Computer Networks,201,Multi Access Protocols
468,Define congestion. Write about congestion Scontrol policies. [7+8],Computer Networks,222,Congestion Control Algorithms
469,a) Explain about hierarchical routing algorithm. S,Computer Networks,221,Hierarchical Routing
473,a) What is DNS? Explain the architecture of DNS Servers in Internet.,Computer Networks,259,DNS
476,Differentiate between TCP/IP network model and ISO-OSI reference model. [7+8] s,Computer Networks,194,Comparison of OSI and TCP/IP Reference Model
479,a) What are the design issues of Data Link Layer? Explain in detail.,Computer Networks,197,Data Link Layer Design Issues
480,Compare and contrast CSMA/CD and CSMA/CA for channel allocation. [7+8] p,Computer Networks,201,Multi Access Protocols
481,What are various types of Error Daetection methods? Explain about Cyclic Redundancy Check Error Detection Method with suitable example. [15] p,Computer Networks,198,CRC Codes
482,a) Define Routing. Explain Distance Vector Routing Algorithm with an example. e,Computer Networks,219,Distance Vector Routing
483,What are the advantages and limitations of flooding? [9+6] r,Computer Networks,218,Flooding
484,a) Describe link state vector routing algorithm example.,Computer Networks,215,Routing Algorithms
489,Discuss about HTTP request and response mechanisms. [8+7] ---ooOoo---,Computer Networks,255,HTTP
493,Quote example for aggregation in ER model. [3],DBMS,347,Additional features of the ER model
494,What is an unsafe query? [2],DBMS,357,Tuple relational calculus
496,Give example for spurious tuples. [3],DBMS,368,Problems caused by redundancy
497,What are the benefits of multiple granularity? [3],DBMS,392,Locking systems with several lock modes
498,What is static hashing? [3] PART - B (50 Marks),DBMS,409,Static Hashing
499,How does database management system provide data abstraction? Explain in detail.[10],DBMS,341,Levels of abstraction in a DBMS
501,Illustrate all primitive operators available in Relational Algebra for data accessing. [10],DBMS,356,Relational algebra
502,"Consider the following database schema to write queries in SQL: Employee( Eid, Ename, Ecity) Company( Cno, Cname, Ccity) Works_for(Eid, Cno, Salary)",DBMS,359,SQL Queries
503,Find the employees hailing from Kolkata.,DBMS,359,SQL Queries
504,Find the employees working for Wipro.,DBMS,359,SQL Queries
505,Find the average salary of employees working for IBM. [3+3+4],DBMS,359,SQL Queries
506,Explain the need of schema refinement in database design with suitable examples. [10],DBMS,344,Database design and ER diagrams
507,Make a comparison of Boyce Codd normal form and Fourth normal form. [10],DBMS,377,BCNF
508,Discuss the concept of serializability with suitable schedules. [10],DBMS,387,Serializability
509,Demonstrate the working of validation based protocol. [10],DBMS,394,Validation
514,What is tuple relational calculus? [2],DBMS,357,Tuple relational calculus
517,Define transaction in DBMS.u [2],DBMS,381,Transaction concept
518,Explain serializability in databases [3] s,DBMS,387,Serializability
519,What is secondary indexes? [2],DBMS,405,Secondary Index
521,a) List the applications of DBMS. p,DBMS,338,Database System Applications
522,Explain various data models. [5+5] a,DBMS,340,Data Models
524,Write a note on views. p [5+5],DBMS,354,Introduction to views
525,a) Explain about the set comparison operators used in SQL queries weith example.,DBMS,359,SQL Queries
526,How to perform comparison using NULL values? Explain. r [5+5] s,DBMS,364,NULL values
527,Elaborate on joins in SQL queries with example. [10],DBMS,359,SQL Queries
528,Discuss Multi-valued dependency and Fourth Normal form with suitable example.[10],DBMS,379,Fourth normal form
529,a) Write detailed notes on the dependency preserving decomposition.,DBMS,369,Decompositions and associated problems
530,Explain fifth Normal form. [5+5],DBMS,374,First normal form
531,a) What is concurrency control in databases? Explain Time stamp-based protocol in detail.,DBMS,393,Concurrency control by timestamps
532,Why we need to backup database? Discuss the remote backup systems of the DBMS. [10],DBMS,399,Failure with loss of non-volatile storage
533,Elaborate on file organization of the DBMS. [10],DBMS,400,External Storage and Indexing
536,a) Define database management systems? Differentiate file system with data base managemeUnt systems.,DBMS,338,Database System Applications
537,Draw an ER diagram for banking system taking into account at least four entities and s use appropriate keys and constraints. [7+8],DBMS,344,Database design and ER diagrams
538,"a) Consider the following relations Student (Std_Name,Std_Rdno,Avg_Marks,Branch) Fees (Std_Rno,Fee_Paid,Fee_D ue) Represent the following using relational algebra.",DBMS,356,Relational algebra
540,Display the students list whose fees due in between 5000 and 10000 (from Fees Relation) p,DBMS,359,SQL Queries
544,Symbols used in relational algebra A,DBMS,356,Relational algebra
545,Domain relational calculus. [8+7] u,DBMS,358,Domain relational calculus
546,a) Discuss various types of join operations with an example. g,DBMS,356,Relational algebra
548,"a) Write the advantages and disadvantages of normalization. Explain first no2rmal form with a suitable example. Check whether the following Student relation is in first normal form or not, if not convert into First normal Form. Name Rno Address Mobile Nos Sam 12 Texas, 9XXXXXXX 2 USA 8XXXXXXX Alice 14 Chicago, 7XXXXXXX USA 6XXXXXXX",DBMS,374,First normal form
549,What is Boyce code normal form? Explain with a suitable example. [8+7] J,DBMS,374,First normal form
550,a) What is deferred update recovery technique and how it used in database recovery? N,DBMS,395,Log-based recovery
552,a) What is two phase locking? Describe with the help of a suitable example.,DBMS,391,Serializability by locks
553,Explain aggregate and comparison operators of SQL with suitable examples. [7+8] U,DBMS,363,Aggregation operators
555,EHxplain B+ Trees with a suitable example. [7+8],DBMS,408,B+ Trees
556,"a) What is meant by nested queries, explain with suitable example.",DBMS,362,Nested queries
561,a) What is a view? Discuss its role in database security. s,DBMS,354,Introduction to views
562,Differentiate between tuple relational calculus with domain relational calculus. [7+8] e,DBMS,357,Tuple relational calculus
565,Describe multi valued dependencies and the normal form associated with it. [15],DBMS,374,First normal form
